username, created_at, lng, lat, text
MrCasalinuovo, Sun Jun 07 20:52:46 +0000 2020, -82.985772, 39.994684, @JoeBiden A President's ACTIONS matter, too, like when you authored the most draconian anti-crime bill in our natio… https://t.co/XchohuZaPc 
tmj_CA_LABOR, Sun Jun 07 20:52:46 +0000 2020, -122.142973, 38.209556, UPS is looking for teammates like you. See our latest #Labor job openings, including "Warehouse Worker - Package Ha… https://t.co/bD3lQ450l5 
ExcessDepth, Sun Jun 07 20:52:46 +0000 2020, -117.595728, 33.629414, Everyone: we need change! FSU/UofSC/OSU fans: we’re with you! Let’s start with Dabo Swinney. 
JoelEdmonson, Sun Jun 07 20:52:46 +0000 2020, -88.970787, 39.924657, @ArmyBratt68 They are just two of the good old boys, corrupt as hell, like all their buddies. 
dacheezyjuan, Sun Jun 07 20:52:47 +0000 2020, -74.948769, 39.842583, @realDonaldTrump Brooklyn 99 is way better than law and order mr president. 
kalindholm, Sun Jun 07 20:52:47 +0000 2020, -80.134986, 26.373976, @TomCottonAR wow!!! You are a hero!!!!! 
jfalforque, Sun Jun 07 20:52:47 +0000 2020, -118.411907, 34.020789, oh wow. Aren’t POC tired too? 
tsen66, Sun Jun 07 20:52:47 +0000 2020, -72.938011, 40.788011, @TheDemCoalition @JoeBiden @realDonaldTrump I guess these people who were murdered by rioters you support don't mat… https://t.co/ye7lmH7qrQ 
raymurfspud, Sun Jun 07 20:52:47 +0000 2020, -73.831187, 40.670879, @politvidchannel Barr will undoubtedly go down in history as the worst AG, period. 
ShotByKing202, Sun Jun 07 20:52:47 +0000 2020, -76.977119, 38.965552, @babyhollywood_ https://t.co/UbZ9IEmq5V 
rcs818, Sun Jun 07 20:52:47 +0000 2020, -78.394481, 40.463361, This piece infuriated me, and it goes to the heart of the academic literature about female candidates. “Liabilities… https://t.co/RCEDHyZ94T 
PartiPants27, Sun Jun 07 20:52:47 +0000 2020, -118.156711, 33.809172, I remember going to a family house party in North Compton many many years ago and seeing the “Compton Cowboys” jus… https://t.co/PZqDMXGFWJ 
MaloneComedy, Sun Jun 07 20:52:47 +0000 2020, -119.034349, 34.225328, Maybe that's what purgatory is. You end up living in your dead parent's basement in the afterlife. Nevermind that s… https://t.co/AnrxOuoFkP 
BlRemaley, Sun Jun 07 20:52:47 +0000 2020, -75.495860, 40.658794, ...by Sarah Picon... https://t.co/dDjgDf98R0 
mmarcialeigh, Sun Jun 07 20:52:48 +0000 2020, -82.170186, 27.069033, The Chief needs another job. His training has been tragically and fatally flawed and will lead only to chaos and vi… https://t.co/SZPFrPYeln 
awesome_2118, Sun Jun 07 20:52:48 +0000 2020, -95.446486, 29.838495, @aleccarter0 Sexy pup 
blanchardrrrr, Sun Jun 07 20:52:48 +0000 2020, -83.996731, 34.118083, Si me pagaran por agarrar arrecheras cada vez que se me mete un carro sin poner direccionales, tendría que jode plata xd 
ultabeautyjobs, Sun Jun 07 20:52:48 +0000 2020, -86.069720, 39.620662, @UltaBeauty we believe #thepossibilitiesarebeautiful for our future, so we’re interviewing now. We're hiring in our… https://t.co/n3GuYTuNio 
test5geo1798, Sun Jun 07 20:52:48 +0000 2020, -122.398720, 37.781157, TEST_LAT/LON: f4a3dbc9-acd1-4629-af8d-02f1b711c9e0 
tanoonieA, Sun Jun 07 20:52:48 +0000 2020, -90.011008, 29.982601, 😭😭😭i don't listen to nobody elseeeeee yk thattt 
Dretanaa, Sun Jun 07 20:52:48 +0000 2020, -74.184848, 40.734494, It’s some niggaz who think nobody fucking w/ them But when HIM enter the environment HIM RUN $hit YOU I$ not on… https://t.co/ZSpeZqSHtS 
lilbitt_Duh, Sun Jun 07 20:52:48 +0000 2020, -81.705467, 41.495940, #HappyBirthdayPrince 💜💜💜 
ElChucoFresh, Sun Jun 07 20:52:48 +0000 2020, -106.326015, 31.782291, Add happy clouds to yo life @ The Pink Elephant at 915 Vibes https://t.co/JGSESSW8OY 
BigBabyRoyal, Sun Jun 07 20:52:48 +0000 2020, -74.232784, 40.725694, @_itsmebutton Lmfaoo I bet 
belvillain, Sun Jun 07 20:52:48 +0000 2020, -82.439835, 38.407664, I got to kick it in a lake and it was so nice 
alyssalmoreno, Sun Jun 07 20:52:48 +0000 2020, -119.891930, 36.262864, fingers crossed my helmet doesn’t destroy my hair🥴 
LoominairyGamer, Sun Jun 07 20:52:48 +0000 2020, -122.630908, 45.536402, The American police are no different than the Chinese police or any other  authoritarian state. Firefighters, docto… https://t.co/J3nW07j5bM 
dennisgriffin11, Sun Jun 07 20:52:48 +0000 2020, -98.540651, 29.417501, Did the President even mention D-Day yesterday? Did I miss it?I’m really asking. 
alejandradm_, Sun Jun 07 20:52:48 +0000 2020, -84.316443, 34.134613, Gavin Newsom: STOP the use of HDQ Neutral in ICE Detentions! - Sign the Petition! https://t.co/hIbdmmZl3t via @Change 
CulturedModesty, Sun Jun 07 20:52:48 +0000 2020, -74.441104, 40.488195, OMG @dereckapurnell!!! Minneapolis City Council Members Announce Intent To Disband The Police Department, Invest… https://t.co/8DdXrM2UhJ 
rmarie717, Sun Jun 07 20:52:48 +0000 2020, -97.477426, 25.972106, Like I said amateur https://t.co/IZ2IjxUOy3 
TyberZannxxxx, Sun Jun 07 20:52:48 +0000 2020, -75.028639, 39.789530, Ate a burger and fries from @McDonalds for lunch. #burger #fries #McDonalds #lunch 
AnuolfRaccoon, Sun Jun 07 20:52:48 +0000 2020, -72.070354, 41.359729, https://t.co/XepCfNYEJf 
GPAWLISA, Sun Jun 07 20:52:49 +0000 2020, -73.952043, 40.851621, I kicked off June right!  Training has been hard lately because every race keeps getting canceled and it’s difficul… https://t.co/ASYTbGDUQq 
tomcoma123, Sun Jun 07 20:52:49 +0000 2020, -112.299283, 40.538342, Why are some of you people in Tooele Utah still fighting with me and blaming me for things i have no control over duh 
ninigirl84, Sun Jun 07 20:52:49 +0000 2020, -96.761753, 32.819858, @LeanHamNeeson @RachelBitecofer In last weeks Q Poll, the numbers are:Trump ~ 47%Biden ~ 46%#RevengeOfTheSuburbs2020🤠 
jbrawleyPV, Sun Jun 07 20:52:49 +0000 2020, -81.263631, 34.100920, @OneEyedLizzy Yeah. There’s like a big store 
MarleneRivera, Sun Jun 07 20:52:49 +0000 2020, -95.189469, 29.511978, YALL THE CITY OF FRIENDSWOOD ONLY HAS 5 BUSINESS CONTRACTS WITH WOMEN OF COLOR!! THIS IS UNACCEPTABLE 
TimKernell1, Sun Jun 07 20:52:49 +0000 2020, -86.791549, 36.200008, @sabrinasanch @BethMooreLPM https://t.co/1PBIQzXoBq 
BryanDeSanJose, Sun Jun 07 20:52:49 +0000 2020, -121.827167, 37.367500, @jassssminh Could have smacked a little harder tho lol 
angelxchim, Sun Jun 07 20:52:50 +0000 2020, -77.604684, 41.117936, can i change my pfp back yet 👁👄👁 
JetsMets3348, Sun Jun 07 20:52:50 +0000 2020, -80.927138, 29.035797, Everyone talks about no fans being in the stands to me the weird thing is no RV in the infield. #Nascar 
VirginiaSlim67, Sun Jun 07 20:52:50 +0000 2020, -79.420865, 38.003376, They didn’t invite @IMHoneyBunny92 ? 🤔 
Yvonneyvonnee, Sun Jun 07 20:52:50 +0000 2020, -79.299672, 43.880695, Check out Yvonne's video! #TikTok https://t.co/OjvwlwHux1 
Im_michaelaa, Sun Jun 07 20:52:50 +0000 2020, -92.131274, 34.751936, @tpwklizzy https://t.co/0fbzPoKPaT 
sueatomick, Sun Jun 07 20:52:50 +0000 2020, -83.804475, 27.698682, Regálale un RT a mi hermano en su emprendimiento ‼ 👏 Esta ofreciendo un 50% de Descuento (Grabación, edición, mezcl… https://t.co/SBlLlrDJ4N 
misswy__, Sun Jun 07 20:52:50 +0000 2020, -80.846785, 35.209059, @CoachENick 😂😂😂😂. Nothing major. But that situation I told you about I finally ended it 
VanDamCNN, Sun Jun 07 20:52:50 +0000 2020, -90.011008, 29.982601, Never under estimate a weaker tropical storm and its ability to pile up water along the coast. #shellbeach… https://t.co/Cv2xMATXnC 
JanaBananaSays, Sun Jun 07 20:52:50 +0000 2020, -111.560519, 33.198235, @AzCardsGM @jayjayGoFast I'll cut out phase 2 cos I think Laughlin is sad Vegas 
1RunwayJ, Sun Jun 07 20:52:50 +0000 2020, -77.604684, 41.117936, @Nicole_coro what type time you on? 😤 
Medit9, Sun Jun 07 20:52:50 +0000 2020, -122.630908, 45.536402, @h_conover Read this ⬇️ He's good https://t.co/H0q3gAKKZR 
MPSallusti73, Sun Jun 07 20:52:50 +0000 2020, -96.761753, 32.819858, @catchinyellows Well said. 
